Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Serbia,6871547,28-12-2021,1293394,18.8224573
Bahrain,1472237,08-11-2021,277098,18.82156202
Bahrain,1472237,07-11-2021,277081,18.82040731
Andorra,79843,27-08-2021,15025,18.81818068
Andorra,79843,28-08-2021,15025,18.81818068
Andorra,79843,29-08-2021,15025,18.81818068
Bahrain,1472237,06-11-2021,277041,18.81769036
Bahrain,1472237,05-11-2021,277011,18.81565264
Bahrain,1472237,04-11-2021,276983,18.81375078
Bahrain,1472237,03-11-2021,276956,18.81191683
Bahrain,1472237,02-11-2021,276917,18.8092678
Andorra,79843,26-08-2021,15016,18.80690856
Bahrain,1472237,01-11-2021,276874,18.80634708
Andorra,79843,25-08-2021,15014,18.80440364
Bahrain,1472237,31-10-2021,276829,18.8032905
Bahrain,1472237,30-10-2021,276794,18.80091317
Serbia,6871547,27-12-2021,1291718,18.79806687
Bahrain,1472237,29-10-2021,276749,18.7978566
Bahrain,1472237,28-10-2021,276718,18.79575096
Slovenia,2119843,20-11-2021,398439,18.7956844
Bahrain,1472237,27-10-2021,276685,18.79350947
Andorra,79843,24-08-2021,15003,18.7906266
Bahrain,1472237,26-10-2021,276635,18.79011328
Andorra,79843,23-08-2021,15002,18.78937415
Mongolia,3398373,15-11-2021,638517,18.78890281
Bahrain,1472237,25-10-2021,276608,18.78827933
Lithuania,2750058,27-12-2021,516686,18.78818556
Seychelles,107135,01-09-2021,20128,18.78751108
Seychelles,107135,02-09-2021,20128,18.78751108
Bahrain,1472237,24-10-2021,276571,18.78576615
Gibraltar,32677,06-11-2021,6138,18.78385409
Bahrain,1472237,23-10-2021,276526,18.78270958
Georgia,3744385,27-10-2021,703281,18.78228334
Serbia,6871547,26-12-2021,1290469,18.77989047
Bahrain,1472237,22-10-2021,276461,18.77829453
Bahrain,1472237,21-10-2021,276395,18.77381155
Andorra,79843,20-08-2021,14988,18.77183974
Andorra,79843,21-08-2021,14988,18.77183974
Andorra,79843,22-08-2021,14988,18.77183974
Bahrain,1472237,20-10-2021,276336,18.76980405
Serbia,6871547,25-12-2021,1289493,18.76568697
Bahrain,1472237,19-10-2021,276262,18.76477768
Lithuania,2750058,26-12-2021,516007,18.76349517
Andorra,79843,19-08-2021,14981,18.76307253
Bahrain,1472237,18-10-2021,276188,18.75975132
Montenegro,627082,04-09-2021,117632,18.75863125
Andorra,79843,18-08-2021,14976,18.75681024
