Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,79843,2021-12-03,18010,22.55676766
Andorra,79843,2021-12-04,18010,22.55676766
Andorra,79843,2021-12-05,18010,22.55676766
Czechia,10493990,2021-12-15,2367076,22.55649186
Seychelles,107135,2021-12-21,24152,22.54351986
Montenegro,627082,2021-10-25,141292,22.53166253
Gibraltar,32677,2021-12-04,7360,22.52348747
Seychelles,107135,2021-12-20,24128,22.52111822
Montenegro,627082,2021-10-24,140922,22.47265908
Gibraltar,32677,2021-12-03,7340,22.46228234
Georgia,3744385,2021-11-29,840593,22.44942761
Seychelles,107135,2021-12-17,24047,22.44551267
Seychelles,107135,2021-12-18,24047,22.44551267
Seychelles,107135,2021-12-19,24047,22.44551267
Seychelles,107135,2021-12-16,24047,22.44551267
Slovakia,5643455,2021-12-09,1265056,22.41633893
Gibraltar,32677,2021-12-02,7324,22.41331824
Montenegro,627082,2021-10-23,140489,22.4036091
Georgia,3744385,2021-11-28,838639,22.3972428
Czechia,10493990,2021-12-14,2350338,22.39699104
Seychelles,107135,2021-12-15,23960,22.36430672
San Marino,33690,2021-12-25,7526,22.33897299
San Marino,33690,2021-12-26,7526,22.33897299
San Marino,33690,2021-12-24,7526,22.33897299
Seychelles,107135,2021-12-14,23920,22.32697064
Montenegro,627082,2021-10-22,139963,22.31972852
Seychelles,107135,2021-12-13,23901,22.30923601
Georgia,3744385,2021-11-27,835306,22.30822952
Czechia,10493990,2021-12-13,2338402,22.28324975
Gibraltar,32677,2021-12-01,7281,22.28172721
Czechia,10493990,2021-12-12,2334289,22.24405588
Montenegro,627082,2021-10-21,139488,22.24398085
Slovakia,5643455,2021-12-08,1255086,22.2396741
Seychelles,107135,2021-12-10,23806,22.22056284
Seychelles,107135,2021-12-11,23806,22.22056284
Seychelles,107135,2021-12-12,23806,22.22056284
Seychelles,107135,2021-12-09,23806,22.22056284
Georgia,3744385,2021-11-26,831248,22.19985391
Gibraltar,32677,2021-11-30,7248,22.18073875
Montenegro,627082,2021-10-20,139066,22.17668503
Seychelles,107135,2021-12-08,23750,22.16829234
Czechia,10493990,2021-12-11,2325181,22.15726335
Andorra,79843,2021-12-02,17658,22.11590246
Seychelles,107135,2021-12-07,23689,22.11135483
San Marino,33690,2021-12-23,7447,22.10448204
Montenegro,627082,2021-10-19,138607,22.10348886
Seychelles,107135,2021-12-06,23664,22.08801979
Georgia,3744385,2021-11-25,826714,22.07876594
Slovakia,5643455,2021-12-07,1244362,22.04964866
Gibraltar,32677,2021-11-29,7203,22.04302721
Czechia,10493990,2021-12-10,2312736,22.03867166
Seychelles,107135,2021-12-03,23599,22.02734867
Seychelles,107135,2021-12-04,23599,22.02734867
Seychelles,107135,2021-12-05,23599,22.02734867
Montenegro,627082,2021-10-18,138047,22.01418634
Montenegro,627082,2021-10-17,137769,21.96985402
Gibraltar,32677,2021-11-28,7179,21.96958105
Seychelles,107135,2021-12-02,23537,21.96947776
Seychelles,107135,2021-12-01,23537,21.96947776
Georgia,3744385,2021-11-24,822383,21.96309941
Gibraltar,32677,2021-11-27,7162,21.91755669
Montenegro,627082,2021-10-16,137401,21.91116951
Czechia,10493990,2021-12-09,2298441,21.90245083
Slovenia,2119843,2021-12-31,464048,21.89067775
Slovakia,5643455,2021-12-06,1234982,21.88343843
Georgia,3744385,2021-11-23,819182,21.87761141
Seychelles,107135,2021-11-30,23417,21.85746955
Montenegro,627082,2021-10-15,137046,21.8545581
Seychelles,107135,2021-11-29,23390,21.8322677
Andorra,79843,2021-12-01,17426,21.82533221
San Marino,33690,2021-12-22,7351,21.81953102
Gibraltar,32677,2021-11-26,7129,21.81656823
Slovenia,2119843,2021-12-30,462152,21.80123717
Slovakia,5643455,2021-12-05,1230343,21.80123701
Montenegro,627082,2021-10-14,136681,21.79635199
Czechia,10493990,2021-12-08,2282212,21.74780041
Georgia,3744385,2021-11-22,814097,21.74180807
Montenegro,627082,2021-10-13,136322,21.7391027
Slovenia,2119843,2021-12-29,460435,21.7202406
Gibraltar,32677,2021-11-25,7092,21.70333874
Georgia,3744385,2021-11-21,812246,21.69237405
Montenegro,627082,2021-10-12,135981,21.68472385
Seychelles,107135,2021-11-24,23197,21.65212116
Seychelles,107135,2021-11-25,23197,21.65212116
Seychelles,107135,2021-11-26,23197,21.65212116
Seychelles,107135,2021-11-27,23197,21.65212116
Seychelles,107135,2021-11-28,23197,21.65212116
Slovakia,5643455,2021-12-04,1221771,21.64934424
Slovenia,2119843,2021-12-28,458568,21.63216804
Montenegro,627082,2021-10-11,135533,21.61328184
Georgia,3744385,2021-11-20,808889,21.60271981
Montenegro,627082,2021-10-10,135298,21.57580667
Gibraltar,32677,2021-11-24,7049,21.57174771
Czechia,10493990,2021-12-07,2262666,21.56154142
Slovenia,2119843,2021-12-27,456755,21.54664284
Montenegro,627082,2021-10-09,135010,21.52987966
Slovenia,2119843,2021-12-26,456057,21.51371587
Georgia,3744385,2021-11-19,804571,21.48740047
Seychelles,107135,2021-11-23,23018,21.48504224
Slovenia,2119843,2021-12-25,455386,21.48206259
Montenegro,627082,2021-10-08,134602,21.4648164
Seychelles,107135,2021-11-22,22976,21.44583936
Slovakia,5643455,2021-12-03,1209977,21.44035879
Andorra,79843,2021-11-30,17115,21.43581779
Slovenia,2119843,2021-12-24,454298,21.43073803
Czechia,10493990,2021-12-06,2247067,21.41289443
Gibraltar,32677,2021-11-23,6996,21.40955412
Montenegro,627082,2021-10-07,134211,21.40246411
Slovenia,2119843,2021-12-23,453093,21.3738942
Georgia,3744385,2021-11-18,800293,21.3731494
Seychelles,107135,2021-11-19,22895,21.37023382
Seychelles,107135,2021-11-20,22895,21.37023382
Seychelles,107135,2021-11-21,22895,21.37023382
Czechia,10493990,2021-12-05,2240721,21.35242172
Montenegro,627082,2021-10-06,133767,21.33165997
Slovenia,2119843,2021-12-22,451966,21.32072988
Seychelles,107135,2021-11-18,22833,21.31236291
Montenegro,627082,2021-10-05,133415,21.27552696
Seychelles,107135,2021-11-17,22781,21.26382601
Slovenia,2119843,2021-12-21,450703,21.26115
