Location,date,population,total_cases,total_deaths
Afghanistan,27-06-2021,41128772,114220,4650
Afghanistan,28-06-2021,41128772,115751,4730
Afghanistan,29-06-2021,41128772,117158,4794
Afghanistan,30-06-2021,41128772,118659,4871
Afghanistan,01-07-2021,41128772,120216,4962
Afghanistan,02-07-2021,41128772,122156,5048
Afghanistan,03-07-2021,41128772,123485,5107
Afghanistan,04-07-2021,41128772,124748,5199
Afghanistan,05-07-2021,41128772,125937,5283
Afghanistan,06-07-2021,41128772,127464,5360
Afghanistan,07-07-2021,41128772,129021,5415
Afghanistan,08-07-2021,41128772,130113,5477
Afghanistan,09-07-2021,41128772,131586,5561
Afghanistan,10-07-2021,41128772,132777,5638
Afghanistan,11-07-2021,41128772,133578,5724
Afghanistan,12-07-2021,41128772,134653,5791
Afghanistan,13-07-2021,41128772,135889,5849
Afghanistan,14-07-2021,41128772,136643,5923
Afghanistan,15-07-2021,41128772,137853,5983
Afghanistan,16-07-2021,41128772,139051,6072
Afghanistan,17-07-2021,41128772,140224,6098
Afghanistan,18-07-2021,41128772,140602,6147
Afghanistan,19-07-2021,41128772,141499,6213
Afghanistan,20-07-2021,41128772,142414,6266
Afghanistan,21-07-2021,41128772,142762,6293
Afghanistan,22-07-2021,41128772,143183,6325
Afghanistan,23-07-2021,41128772,143439,6357
Afghanistan,24-07-2021,41128772,143666,6393
Afghanistan,25-07-2021,41128772,143871,6425
Afghanistan,26-07-2021,41128772,144285,6477
Afghanistan,27-07-2021,41128772,145008,6515
Afghanistan,28-07-2021,41128772,145552,6577
Afghanistan,29-07-2021,41128772,145996,6615
Afghanistan,30-07-2021,41128772,146523,6677
Afghanistan,31-07-2021,41128772,147154,6708
Afghanistan,01-08-2021,41128772,147501,6737
Afghanistan,02-08-2021,41128772,147985,6774
Afghanistan,03-08-2021,41128772,148572,6804
Afghanistan,04-08-2021,41128772,148933,6836
Afghanistan,05-08-2021,41128772,149361,6864
Afghanistan,06-08-2021,41128772,149810,6879
Afghanistan,07-08-2021,41128772,150240,6897
Afghanistan,08-08-2021,41128772,150458,6908
Afghanistan,09-08-2021,41128772,150778,6936
Afghanistan,10-08-2021,41128772,151013,6961
Afghanistan,11-08-2021,41128772,151291,6978
Afghanistan,12-08-2021,41128772,151563,6988
Afghanistan,13-08-2021,41128772,151770,7000
Afghanistan,14-08-2021,41128772,151941,7010
Afghanistan,15-08-2021,41128772,152033,7021
Afghanistan,16-08-2021,41128772,152142,7025
Afghanistan,17-08-2021,41128772,152243,7031
Afghanistan,18-08-2021,41128772,152363,7043
Afghanistan,19-08-2021,41128772,152411,7047
Afghanistan,20-08-2021,41128772,152448,7054
Afghanistan,21-08-2021,41128772,152497,7065
Afghanistan,22-08-2021,41128772,152511,7070
Afghanistan,23-08-2021,41128772,152583,7076
Afghanistan,24-08-2021,41128772,152660,7083
Afghanistan,25-08-2021,41128772,152722,7090
Afghanistan,26-08-2021,41128772,152822,7093
Afghanistan,27-08-2021,41128772,152960,7101
Afghanistan,28-08-2021,41128772,153007,7103
Afghanistan,29-08-2021,41128772,153033,7109
Afghanistan,30-08-2021,41128772,153148,7116
Afghanistan,31-08-2021,41128772,153220,7118
Afghanistan,01-09-2021,41128772,153260,7123
Afghanistan,02-09-2021,41128772,153306,7127
Afghanistan,03-09-2021,41128772,153375,7127
Afghanistan,04-09-2021,41128772,153395,7128
Afghanistan,05-09-2021,41128772,153423,7132
Afghanistan,06-09-2021,41128772,153534,7141
Afghanistan,07-09-2021,41128772,153626,7144
Afghanistan,08-09-2021,41128772,153736,7151
Afghanistan,09-09-2021,41128772,153840,7157
Afghanistan,10-09-2021,41128772,153962,7164
Afghanistan,11-09-2021,41128772,153982,7167
Afghanistan,12-09-2021,41128772,153990,7167
Afghanistan,13-09-2021,41128772,154094,7169
Afghanistan,14-09-2021,41128772,154180,7171
Afghanistan,15-09-2021,41128772,154283,7174
Afghanistan,16-09-2021,41128772,154361,7183
Afghanistan,17-09-2021,41128772,154487,7186
Afghanistan,18-09-2021,41128772,154487,7186
Afghanistan,19-09-2021,41128772,154487,7186
Afghanistan,20-09-2021,41128772,154585,7199
Afghanistan,21-09-2021,41128772,154712,7199
Afghanistan,22-09-2021,41128772,154757,7199
Afghanistan,23-09-2021,41128772,154800,7199
Afghanistan,24-09-2021,41128772,154960,7199
Afghanistan,25-09-2021,41128772,154960,7199
Afghanistan,26-09-2021,41128772,154960,7199
Afghanistan,27-09-2021,41128772,155072,7200
Afghanistan,28-09-2021,41128772,155093,7201
Afghanistan,29-09-2021,41128772,155128,7204
Afghanistan,30-09-2021,41128772,155174,7204
Afghanistan,01-10-2021,41128772,155191,7206
Afghanistan,02-10-2021,41128772,155191,7206
Afghanistan,03-10-2021,41128772,155191,7206
Afghanistan,04-10-2021,41128772,155287,7212
Afghanistan,05-10-2021,41128772,155309,7214
Afghanistan,06-10-2021,41128772,155380,7220
Afghanistan,07-10-2021,41128772,155429,7221
Afghanistan,08-10-2021,41128772,155448,7221
Afghanistan,09-10-2021,41128772,155466,7221
Afghanistan,10-10-2021,41128772,155508,7225
Afghanistan,11-10-2021,41128772,155540,7228
Afghanistan,12-10-2021,41128772,155599,7230
Afghanistan,13-10-2021,41128772,155627,7234
Afghanistan,14-10-2021,41128772,155682,7238
Afghanistan,15-10-2021,41128772,155688,7238
Afghanistan,16-10-2021,41128772,155739,7238
Afghanistan,17-10-2021,41128772,155764,7243
Afghanistan,18-10-2021,41128772,155776,7246
Afghanistan,19-10-2021,41128772,155801,7247
Afghanistan,20-10-2021,41128772,155859,7247
Afghanistan,21-10-2021,41128772,155891,7249
Afghanistan,22-10-2021,41128772,155931,7252
Afghanistan,23-10-2021,41128772,155940,7253
Afghanistan,24-10-2021,41128772,155944,7255
Afghanistan,25-10-2021,41128772,156040,7260
Afghanistan,26-10-2021,41128772,156071,7262
Afghanistan,27-10-2021,41128772,156124,7266
Afghanistan,28-10-2021,41128772,156166,7268
Afghanistan,29-10-2021,41128772,156196,7269
Afghanistan,30-10-2021,41128772,156210,7272
Afghanistan,31-10-2021,41128772,156250,7280
Afghanistan,01-11-2021,41128772,156284,7281
Afghanistan,02-11-2021,41128772,156307,7281
Afghanistan,03-11-2021,41128772,156323,7284
Afghanistan,04-11-2021,41128772,156363,7284
Afghanistan,05-11-2021,41128772,156392,7284
Afghanistan,06-11-2021,41128772,156397,7284
Afghanistan,07-11-2021,41128772,156397,7284
Afghanistan,08-11-2021,41128772,156397,7288
Afghanistan,09-11-2021,41128772,156397,7290
Afghanistan,10-11-2021,41128772,156414,7291
Afghanistan,11-11-2021,41128772,156456,7292
Afghanistan,12-11-2021,41128772,156487,7292
Afghanistan,13-11-2021,41128772,156510,7292
Afghanistan,14-11-2021,41128772,156552,7293
Afghanistan,15-11-2021,41128772,156610,7294
Afghanistan,16-11-2021,41128772,156649,7295
Afghanistan,17-11-2021,41128772,156739,7297
Afghanistan,18-11-2021,41128772,156739,7297
Afghanistan,19-11-2021,41128772,156812,7299
Afghanistan,20-11-2021,41128772,156864,7301
Afghanistan,21-11-2021,41128772,156896,7303
Afghanistan,22-11-2021,41128772,156911,7303
Afghanistan,23-11-2021,41128772,157015,7305
Afghanistan,24-11-2021,41128772,157032,7306
Afghanistan,25-11-2021,41128772,157144,7307
Afghanistan,26-11-2021,41128772,157171,7307
Afghanistan,27-11-2021,41128772,157190,7308
Afghanistan,28-11-2021,41128772,157218,7308
Afghanistan,29-11-2021,41128772,157260,7308
Afghanistan,30-11-2021,41128772,157289,7308
Afghanistan,01-12-2021,41128772,157359,7309
Afghanistan,02-12-2021,41128772,157387,7310
Afghanistan,03-12-2021,41128772,157412,7311
Afghanistan,04-12-2021,41128772,157431,7312
Afghanistan,05-12-2021,41128772,157454,7312
Afghanistan,06-12-2021,41128772,157499,7316
Afghanistan,07-12-2021,41128772,157508,7317
Afghanistan,08-12-2021,41128772,157542,7319
Afghanistan,09-12-2021,41128772,157585,7321
Afghanistan,10-12-2021,41128772,157603,7324
Afghanistan,11-12-2021,41128772,157611,7325
Afghanistan,12-12-2021,41128772,157633,7328
Afghanistan,13-12-2021,41128772,157648,7328
Afghanistan,14-12-2021,41128772,157660,7329
Afghanistan,15-12-2021,41128772,157665,7331
Afghanistan,16-12-2021,41128772,157725,7332
Afghanistan,17-12-2021,41128772,157734,7332
Afghanistan,18-12-2021,41128772,157745,7333
Afghanistan,19-12-2021,41128772,157787,7335
Afghanistan,20-12-2021,41128772,157797,7335
Afghanistan,21-12-2021,41128772,157816,7335
Afghanistan,22-12-2021,41128772,157841,7341
Afghanistan,23-12-2021,41128772,157878,7346
Afghanistan,24-12-2021,41128772,157887,7348
Afghanistan,25-12-2021,41128772,157895,7349
Afghanistan,26-12-2021,41128772,157951,7354
Afghanistan,27-12-2021,41128772,157967,7354
Afghanistan,28-12-2021,41128772,157998,7355
Afghanistan,29-12-2021,41128772,158037,7356
Afghanistan,30-12-2021,41128772,158056,7356
Afghanistan,31-12-2021,41128772,158084,7356
Albania,01-01-2021,2842318,58316,1181
Albania,02-01-2021,2842318,58991,1190
Albania,03-01-2021,2842318,59438,1193
Albania,04-01-2021,2842318,59623,1199
Albania,05-01-2021,2842318,60283,1210
Albania,06-01-2021,2842318,61008,1217
Albania,07-01-2021,2842318,61705,1223
Albania,08-01-2021,2842318,62378,1230
Albania,09-01-2021,2842318,63033,1233
Albania,10-01-2021,2842318,63595,1241
Albania,11-01-2021,2842318,63971,1247
Albania,12-01-2021,2842318,64627,1252
Albania,13-01-2021,2842318,65334,1256
Albania,14-01-2021,2842318,65994,1261
Albania,15-01-2021,2842318,66635,1265
Albania,16-01-2021,2842318,67216,1270
Albania,17-01-2021,2842318,67690,1277
Albania,18-01-2021,2842318,67982,1281
Albania,19-01-2021,2842318,68568,1287
Albania,20-01-2021,2842318,69238,1291
Albania,21-01-2021,2842318,69916,1296
Albania,22-01-2021,2842318,70655,1303
Albania,23-01-2021,2842318,71441,1310
Albania,24-01-2021,2842318,72274,1315
Albania,25-01-2021,2842318,72812,1324
Albania,26-01-2021,2842318,73691,1332
Albania,27-01-2021,2842318,74567,1339
Albania,28-01-2021,2842318,75454,1350
Albania,29-01-2021,2842318,76350,1358
Albania,30-01-2021,2842318,77251,1369
Albania,31-01-2021,2842318,78127,1380
Albania,01-02-2021,2842318,78992,1393
Albania,02-02-2021,2842318,79934,1398
Albania,03-02-2021,2842318,80941,1404
Albania,04-02-2021,2842318,81993,1418
Albania,05-02-2021,2842318,83082,1433
Albania,06-02-2021,2842318,84212,1446
Albania,07-02-2021,2842318,85336,1460
Albania,08-02-2021,2842318,86289,1472
Albania,09-02-2021,2842318,87528,1488
Albania,10-02-2021,2842318,88671,1503
Albania,11-02-2021,2842318,89776,1517
Albania,12-02-2021,2842318,90835,1531
Albania,13-02-2021,2842318,91987,1543
Albania,14-02-2021,2842318,93075,1555
Albania,15-02-2021,2842318,93850,1567
Albania,16-02-2021,2842318,94651,1582
Albania,17-02-2021,2842318,95726,1600
Albania,18-02-2021,2842318,96838,1617
Albania,19-02-2021,2842318,97909,1636
Albania,20-02-2021,2842318,99062,1653
Albania,21-02-2021,2842318,100246,1666
Albania,22-02-2021,2842318,101285,1681
Albania,23-02-2021,2842318,102306,1696
Albania,24-02-2021,2842318,103327,1715
Albania,25-02-2021,2842318,104313,1736
Albania,26-02-2021,2842318,105229,1756
Albania,27-02-2021,2842318,106215,1775
Albania,28-02-2021,2842318,107167,1796
Albania,01-03-2021,2842318,107931,1816
Albania,02-03-2021,2842318,108823,1835
Albania,03-03-2021,2842318,109674,1856
Albania,04-03-2021,2842318,110521,1876
Albania,05-03-2021,2842318,111301,1897
Albania,06-03-2021,2842318,112078,1918
Albania,07-03-2021,2842318,112897,1939
Albania,08-03-2021,2842318,113580,1956
Albania,09-03-2021,2842318,114209,1969
Albania,10-03-2021,2842318,114840,1986
Albania,11-03-2021,2842318,115442,2002
Albania,12-03-2021,2842318,116123,2018
Albania,13-03-2021,2842318,116821,2030
Albania,14-03-2021,2842318,117474,2045
Albania,15-03-2021,2842318,118017,2060
Albania,16-03-2021,2842318,118492,2077
Albania,17-03-2021,2842318,118938,2092
Albania,18-03-2021,2842318,119528,2106
Albania,19-03-2021,2842318,120022,2122
Albania,20-03-2021,2842318,120541,2133
Albania,21-03-2021,2842318,121200,2137
Albania,22-03-2021,2842318,121544,2145
Albania,23-03-2021,2842318,121847,2156
Albania,24-03-2021,2842318,122295,2171
Albania,25-03-2021,2842318,122767,2184
Albania,26-03-2021,2842318,123216,2192
Albania,27-03-2021,2842318,123641,2204
Albania,28-03-2021,2842318,124134,2210
Albania,29-03-2021,2842318,124419,2216
Albania,30-03-2021,2842318,124723,2227
Albania,31-03-2021,2842318,125157,2235
Albania,01-04-2021,2842318,125506,2241
Albania,02-04-2021,2842318,125842,2247
Albania,03-04-2021,2842318,126183,2256
Albania,04-04-2021,2842318,126531,2265
Albania,05-04-2021,2842318,126795,2274
Albania,06-04-2021,2842318,126936,2283
Albania,07-04-2021,2842318,127192,2291
Albania,08-04-2021,2842318,127509,2297
Albania,09-04-2021,2842318,127795,2304
Albania,10-04-2021,2842318,128155,2310
Albania,11-04-2021,2842318,128393,2317
Albania,12-04-2021,2842318,128518,2321
Albania,13-04-2021,2842318,128752,2326
Albania,14-04-2021,2842318,128959,2331
Albania,15-04-2021,2842318,129128,2335
Albania,16-04-2021,2842318,129307,2337
Albania,17-04-2021,2842318,129456,2340
Albania,18-04-2021,2842318,129594,2342
Albania,19-04-2021,2842318,129694,2347
Albania,20-04-2021,2842318,129842,2353
Albania,21-04-2021,2842318,129980,2358
Albania,22-04-2021,2842318,130114,2364
Albania,23-04-2021,2842318,130270,2367
Albania,24-04-2021,2842318,130409,2372
Albania,25-04-2021,2842318,130537,2378
Albania,26-04-2021,2842318,130606,2379
Albania,27-04-2021,2842318,130736,2383
Albania,28-04-2021,2842318,130859,2386
Albania,29-04-2021,2842318,130977,2389
Albania,30-04-2021,2842318,131085,2394
Albania,01-05-2021,2842318,131185,2396
Albania,02-05-2021,2842318,131238,2397
Albania,03-05-2021,2842318,131276,2399
Albania,04-05-2021,2842318,131327,2402
Albania,05-05-2021,2842318,131419,2403
Albania,06-05-2021,2842318,131510,2406
Albania,07-05-2021,2842318,131577,2408
Albania,08-05-2021,2842318,131666,2411
Albania,09-05-2021,2842318,131723,2412
Albania,10-05-2021,2842318,131753,2416
Albania,11-05-2021,2842318,131803,2420
Albania,12-05-2021,2842318,131845,2423
Albania,13-05-2021,2842318,131890,2426
Albania,14-05-2021,2842318,131939,2427
Albania,15-05-2021,2842318,131978,2429
Albania,16-05-2021,2842318,132015,2432
Albania,17-05-2021,2842318,132032,2435
Albania,18-05-2021,2842318,132071,2436
Albania,19-05-2021,2842318,132095,2438
Albania,20-05-2021,2842318,132118,2440
Albania,21-05-2021,2842318,132153,2441
Albania,22-05-2021,2842318,132176,2442
Albania,23-05-2021,2842318,132209,2444
Albania,24-05-2021,2842318,132215,2445
Albania,25-05-2021,2842318,132229,2447
Albania,26-05-2021,2842318,132244,2447
Albania,27-05-2021,2842318,132264,2447
Albania,28-05-2021,2842318,132285,2448
Albania,29-05-2021,2842318,132297,2449
Albania,30-05-2021,2842318,132309,2450
Albania,31-05-2021,2842318,132315,2451
Albania,01-06-2021,2842318,132337,2451
Albania,02-06-2021,2842318,132351,2451
Albania,03-06-2021,2842318,132360,2451
Albania,04-06-2021,2842318,132372,2451
Albania,05-06-2021,2842318,132374,2451
Albania,06-06-2021,2842318,132379,2451
Albania,07-06-2021,2842318,132384,2452
Albania,08-06-2021,2842318,132397,2452
Albania,09-06-2021,2842318,132415,2452
Albania,10-06-2021,2842318,132426,2452
Albania,11-06-2021,2842318,132437,2453
Albania,12-06-2021,2842318,132449,2453
Albania,13-06-2021,2842318,132459,2453
Albania,14-06-2021,2842318,132461,2453
Albania,15-06-2021,2842318,132469,2454
Albania,16-06-2021,2842318,132476,2454
Albania,17-06-2021,2842318,132481,2454
Albania,18-06-2021,2842318,132484,2454
Albania,19-06-2021,2842318,132488,2454
Albania,20-06-2021,2842318,132490,2454
Albania,21-06-2021,2842318,132490,2454
Albania,22-06-2021,2842318,132496,2455
Albania,23-06-2021,2842318,132497,2455
Albania,24-06-2021,2842318,132499,2455
Albania,25-06-2021,2842318,132506,2455
Albania,26-06-2021,2842318,132509,2456
Albania,27-06-2021,2842318,132512,2456
Albania,28-06-2021,2842318,132513,2456
Albania,29-06-2021,2842318,132514,2456
Albania,30-06-2021,2842318,132521,2456
